iter	Passed	Remaining
0	58	58520
1	61	30847
2	63	21164
3	66	16455
4	68	13685
5	71	11846
6	74	10561
7	77	9573
8	80	8822
9	82	8208
10	85	7721
11	88	7306
12	91	6959
13	93	6612
14	97	6408
15	100	6184
16	103	5984
17	105	5749
18	107	5574
19	110	5393
20	112	5243
21	115	5133
22	118	5013
23	120	4910
24	123	4811
25	126	4724
26	128	4638
27	131	4557
28	133	4458
29	136	4413
30	139	4374
31	142	4313
32	146	4290
33	149	4258
34	152	4208
35	155	4154
36	157	4109
37	160	4057
38	162	4014
39	165	3968
40	166	3906
41	169	3876
42	172	3829
43	174	3799
44	177	3774
45	181	3756
46	183	3719
47	185	3686
48	189	3677
49	192	3666
50	195	3634
51	198	3621
52	200	3589
53	204	3584
54	207	3564
55	209	3531
56	211	3498
57	214	3478
58	217	3461
59	219	3440
60	222	3418
61	224	3398
62	226	3370
63	229	3349
64	232	3339
65	234	3323
66	237	3313
67	240	3297
68	242	3274
69	245	3255
70	247	3240
71	249	3221
72	252	3206
73	255	3199
74	258	3189
75	260	3170
76	263	3161
77	265	3142
78	268	3129
79	270	3111
80	273	3104
81	276	3090
82	278	3081
83	281	3068
84	284	3059
85	287	3057
86	289	3040
87	291	3025
88	294	3013
89	296	3000
90	298	2986
91	301	2978
92	304	2970
93	306	2957
94	309	2944
95	311	2936
96	315	2932
97	317	2922
98	319	2908
99	321	2895
100	324	2890
101	327	2882
102	329	2868
103	331	2852
104	334	2847
105	336	2838
106	338	2829
107	341	2819
108	343	2811
109	346	2803
110	349	2799
111	351	2788
112	354	2782
113	356	2771
114	359	2766
115	362	2760
116	364	2751
117	366	2739
118	369	2733
119	372	2730
120	374	2723
121	378	2722
122	380	2712
123	383	2707
124	387	2710
125	389	2704
126	391	2693
127	394	2685
128	396	2675
129	398	2667
130	400	2657
131	403	2651
132	405	2645
133	408	2638
134	411	2637
135	413	2627
136	415	2620
137	418	2614
138	421	2613
139	423	2604
140	426	2598
141	428	2591
142	431	2582
143	433	2574
144	435	2568
145	438	2562
146	440	2554
147	442	2546
148	444	2540
149	447	2536
150	450	2531
151	452	2526
152	455	2521
153	457	2515
154	460	2511
155	463	2506
156	465	2500
157	468	2494
158	470	2488
159	472	2481
160	474	2474
161	477	2470
162	480	2464
163	482	2459
164	484	2453
165	487	2447
166	489	2439
167	492	2438
168	494	2433
169	497	2427
170	499	2419
171	501	2414
172	504	2409
173	506	2403
174	508	2397
175	511	2393
176	513	2388
177	516	2383
178	518	2379
179	521	2375
180	523	2369
181	525	2363
182	528	2361
183	532	2360
184	534	2355
185	536	2347
186	538	2343
187	540	2335
188	543	2332
189	546	2327
190	548	2324
191	551	2319
192	553	2313
193	555	2308
194	558	2304
195	560	2298
196	563	2295
197	565	2290
198	567	2285
199	570	2281
200	573	2278
201	576	2276
202	579	2274
203	582	2273
204	585	2269
205	586	2261
206	589	2259
207	592	2256
208	595	2252
209	597	2246
210	599	2241
211	602	2237
212	605	2236
213	608	2233
214	611	2231
215	613	2225
216	614	2215
217	616	2211
218	619	2208
219	621	2203
220	624	2200
221	626	2196
222	629	2192
223	632	2190
224	634	2185
225	636	2179
226	638	2175
227	641	2171
228	644	2169
229	646	2164
230	648	2158
231	650	2154
232	653	2151
233	655	2145
234	657	2139
235	659	2135
236	662	2131
237	663	2125
238	666	2121
239	668	2115
240	669	2108
241	671	2104
242	674	2099
243	676	2095
244	679	2092
245	682	2090
246	684	2086
247	686	2081
248	688	2076
249	690	2072
250	693	2068
251	695	2064
252	697	2059
253	699	2055
254	701	2050
255	703	2045
256	705	2040
257	707	2035
258	710	2031
259	712	2026
260	714	2022
261	716	2018
262	719	2015
263	721	2011
264	724	2008
265	726	2004
266	729	2002
267	731	1998
268	734	1995
269	736	1991
270	738	1987
271	741	1983
272	743	1980
273	745	1976
274	748	1972
275	750	1969
276	752	1964
277	754	1960
278	756	1955
279	759	1951
280	760	1946
281	763	1944
282	765	1940
283	768	1937
284	770	1932
285	772	1929
286	775	1925
287	777	19212288	779	19172289	781	1913
290	783	1909
291	785	1905
292	788	1901
293	790	1898
294	792	1894
295	794	1888
296	796	1885
297	798	1881
298	801	1878
299	803	1874
300	806	1871
301	808	1867
302	810	1863
303	812	1860
304	815	1857
305	817	18530306	819	18430307	821	1845
308	823	18430309	826	1839
310	828	1836
311	831	1833
312	833	1830
313	836	1826
314	838	1823
315	841	1820
316	842	1816
317	845	1812
318	847	1809
319	849	1805
320	851	1801
321	854	1798
322	857	1796
323	859	1792
324	861	1788
325	863	1785
326	865	17832327	867	17732328	869	17732329	871	17633330	874	17633331	876	17633332	878	1759
333	880	17533334	882	1751
335	884	1748
336	887	1745
337	889	17433338	890	17333339	892	17334340	894	17234341	896	17234342	898	17234343	901	171344	913	1734
345	916	1732
346	918	1728
347	920	1723
34348	912	17034349	914	16935350	916	16935351	918	16935352	920	16835353	922	16835354	925	16835355	927	16735356	929	16735357	931	167358	944	1686
359	946	1683
360	948	1679
361	951	1676
362	953	1673
363	955	1670
36364	947	16436365	949	16436366	952	164367	962	1652
368	964	1649
36369	959	16337370	961	16237371	964	16237372	966	16237373	968	162374	980	1634
375	983	1632
376	985	1629
377	987	1625
37378	979	16037379	982	16038380	984	15938381	986	15938382	988	15933383	990	15893384	993	1586
385	995	15823386	997	1580
387	999	1577
388	1002	1574
389	1004	1571
390	1008	1570
391	1011	1568
392	1013	1565
393	1015	1561
394	1018	1559
395	1020	1556
396	1022	1552
397	1024	1549
398	1026	1546
399	1028	1542
400	1030	1539
401	1032	1535
402	1034	1532
403	1037	1530
404	1039	1526
405	1041	1523
406	1043	1520
407	1045	1517
408	1047	1514
409409	1060	15410410	1063	15411411	1065	15412	1057	1502
413	1059	1499
414	1061	1496
415	1064	1493
416	1065	1490
417	1068	1487
418	1071	1485
419	1072	1481
420	1074	1478
421	1076	1474
422	1078	1471
423	1081	1468
424	1083	1466
425	1085	1463
426	1088	1460
427	1090	1457
428	1092	1453
429429	1104	14430430	1107	14431431	1110	14432432	1112	14433433	1115	14434434	1117	14435435	1119	14436	1110	1430
437	1112	1427
438	1114	1424
439	1116	1421
440	1118	1417
441	1121	1415
442	1123	1412
443	1126	1410
444	1129	1409
445	1132	1406
446	1134	1403
447	1138	1402
448	1140	1399
449	1142	1396
450	1145	1393
451	1146	1390
452	1148	1386
453	1150	1383
454	1153	1381
455	1155	1379
456	1157	1375
457	1160	1373
458	1162	1370
459	1164	1367
460	1167	1364
461	1169	1361
462	1171	1358
463	1174	1356
464	1176	1353
465	1179	1351
466	1181	1348
467	1183	1345
468	1185	1342
469	1187	1339
470	1189	1336
471	1191	1333
472	1194	1331
473	1196	1328
474	1199	1325
475	1201	1322
476	1204	1320
477	1206	1317
478	1209	1315
479	1211	1312
480	1214	1310
481	1216	1307
482	1219	1305
483	1222	1303
484	1225	1301
485	1227	1298
486	1229	1295
487	1232	1292
488	1233	1289
489	1235	1285
490	1237	1282
491	1239	1279
492	1241	1276
493	1243	1274
494	1245	1270
495	1248	1268
496	1250	1265
497	1251	1261
498	1253	1258
499	1257	1257
500	1258	1253
501	1261	1251
502	1263	1248
503	1265	1245
504	1267	1242
505	1269	1239
506	1271	1236
507	1274	1234
508	1276	1231
509	1278	1228
510	1281	1226
511	1283	1223
512	1286	1221
513	1288	1218
514	1292	1216
515	1294	1214
516	1297	1212
517	1299	1209
518	1301	1206
519	1304	1204
520	1306	1201
521	1308	1198
522	1311	1195
523	1313	1193
524	1316	1190
525	1318	1188
526	1321	1185
527	1323	1183
528	1325	1180
529	1327	1177
530	1329	1174
531	1331	1171
532	1334	1169
533	1336	1166
534	1339	1163
535	1341	1161
536	1344	1158
537	1346	1156
538	1348	1153
539	1350	1150
540	1353	1148
541	1355	1145
542	1358	1143
543	1360	1140
544	1363	1138
545	1365	1135
546	1367	1132
547	1370	1130
548	1372	1127
549	1374	1124
550	1376	1121
551	1379	1119
552	1381	1116
553	1384	1114
554	1386	1111
555	1390	1110
556	1393	1108
557	1396	1106
558	1399	1104
559	1403	1102
560	1405	1099
561	1408	1097
562	1410	1094
563	1412	1091
564	1414	1089
565	1416	1086
